clinical_concept,mimic_source_table,mimic_raw_variable,eicu_source_table,eicu_raw_variable,unit_mimic,unit_eicu,canonical_unit,conversion_rule,hourly_aggregation_rule,forward_fill_rule,missingness_mimic,missingness_eicu,transportability_grade,recommended_use,notes
hr slope 6h,mimiciv_icu.chartevents,hr_slope_6h,eicu.vitalPeriodic / nurseCharting,hr_slope_6h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.007612617245950126,0.00329669179926514,high,transport,Core shared feature with acceptable external missingness.
platelet latest value,mimiciv_hosp.labevents,platelet_latest_value,eicu.lab,platelet_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.030911398644963835,0.07147619695308063,high,transport,Core shared feature with acceptable external missingness.
platelet relative drop 24h,mimiciv_hosp.labevents,platelet_relative_drop_24h,eicu.lab,platelet_relative_drop_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.030911398644963835,0.07147619695308063,high,transport,Core shared feature with acceptable external missingness.
rr latest value,mimiciv_icu.chartevents / respiratory charting,rr_latest_value,eicu.vitalPeriodic / respiratoryCharting,rr_latest_value,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.04911084242416009,0.05728786701377363,high,transport,Core shared feature with acceptable external missingness.
shared support-intensity proxy,Step7 model-ready physiology-derived support components,shared_support_intensity_proxy,Step7 model-ready core physiology-derived support components,shared_support_intensity_proxy,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_hemodynamic_component,Step7 model-ready core physiology-derived support components,support_hemodynamic_component,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_proxy_component_count,Step7 model-ready core physiology-derived support components,support_proxy_component_count,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_renal_component,Step7 model-ready core physiology-derived support components,support_renal_component,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.
shared support-intensity proxy,Step7 model-ready physiology-derived support components,support_respiratory_component,Step7 model-ready core physiology-derived support components,support_respiratory_component,0-1 proxy scale or component count,0-1 proxy scale or component count,0-1 proxy scale or component count,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.
spo2 latest value,mimiciv_icu.chartevents / respiratory charting,spo2_latest_value,eicu.vitalPeriodic / respiratoryCharting,spo2_latest_value,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.05773750492466954,0.03093525795709735,high,transport,Core shared feature with acceptable external missingness.
support lactate component,mimiciv_hosp.labevents,support_lactate_component,eicu.lab,support_lactate_component,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,high,transport,Shared support-intensity proxy built from cross-database physiology components.
wbc latest value,mimiciv_hosp.labevents,wbc_latest_value,eicu.lab,wbc_latest_value,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.03065327803471237,0.07189185024687142,high,transport,Core shared feature with acceptable external missingness.
creatinine hours since last real measurement,mimiciv_hosp.labevents,creatinine_hours_since_last_real_measurement,eicu.lab,creatinine_hours_since_last_real_measurement,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0021435655189679832,0.0026965150752789016,moderate,transport,Minimal recency/provenance feature retained only in MT2.
fio2 hours since last real measurement,mimiciv_icu.chartevents / respiratory charting,fio2_hours_since_last_real_measurement,eicu.vitalPeriodic / respiratoryCharting,fio2_hours_since_last_real_measurement,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.14777016785602692,0.13432925257548103,moderate,transport,Minimal recency/provenance feature retained only in MT2.
high fio2 burden 24h,mimiciv_icu.chartevents / respiratory charting,high_fio2_burden_24h,eicu.vitalPeriodic / respiratoryCharting,high_fio2_burden_24h,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS."
lactate gt2 burden 24h,mimiciv_hosp.labevents,lactate_gt2_burden_24h,eicu.lab,lactate_gt2_burden_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS."
lactate gt4 burden 24h,mimiciv_hosp.labevents,lactate_gt4_burden_24h,eicu.lab,lactate_gt4_burden_24h,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS."
low spo2 burden 24h,mimiciv_icu.chartevents / respiratory charting,low_spo2_burden_24h,eicu.vitalPeriodic / respiratoryCharting,low_spo2_burden_24h,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS."
map below 65 burden 24h,mimiciv_icu.chartevents,map_below_65_burden_24h,eicu.vitalPeriodic / nurseCharting,map_below_65_burden_24h,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS."
map deficit,mimiciv_icu.chartevents,map_deficit,eicu.vitalPeriodic / nurseCharting,map_deficit,canonical vital unit,canonical vital unit,canonical vital unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.07940993240345222,0.688134477632241,moderate,transport,"Input component for shared support proxy, not used as full VIS."
oliguria burden 24h,mimiciv_icu.outputevents,oliguria_burden_24h,eicu.intakeOutput,oliguria_burden_24h,mL/hour or derived burden,mL/hour or derived burden,mL/hour or derived burden,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS."
platelet hours since last real measurement,mimiciv_hosp.labevents,platelet_hours_since_last_real_measurement,eicu.lab,platelet_hours_since_last_real_measurement,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0022978556581784446,0.00454935859084973,moderate,transport,Minimal recency/provenance feature retained only in MT2.
ventilation transition count 24h,mimiciv_icu.chartevents / respiratory charting,ventilation_transition_count_24h,eicu.vitalPeriodic / respiratoryCharting,ventilation_transition_count_24h,canonical respiratory unit,canonical respiratory unit,canonical respiratory unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS."
wbc hours since last real measurement,mimiciv_hosp.labevents,wbc_hours_since_last_real_measurement,eicu.lab,wbc_hours_since_last_real_measurement,canonical lab unit,canonical lab unit,canonical lab unit,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0022735962023277432,0.004467559544474427,moderate,transport,Minimal recency/provenance feature retained only in MT2.
worsening renal trajectory flag,Step7 model-ready feature,worsening_renal_trajectory_flag,Step7 model-ready feature,worsening_renal_trajectory_flag,derived,derived,derived,already canonicalized in Step2/Step3 feature layer,latest/windowed dynamic feature at t_pred,Step2 capped forward-fill where applicable; dynamic burdens use prefix-only windows,0.0,0.0,moderate,transport,"Input component for shared support proxy, not used as full VIS."
